CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,70,90.9,24
2,Male,26,48.9,60
3,Female,39,62.6,56
4,Female,52,21.0,86
5,Male,39,32.5,24
6,Male,30,61.6,52
7,Female,66,19.0,21
8,Male,21,93.9,23
9,Male,31,32.0,73
10,Female,70,94.1,92
11,Female,56,19.8,74
12,Female,22,26.4,28
13,Male,57,95.1,29
14,Male,69,66.0,56
15,Male,23,63.9,66
16,Male,39,23.6,8
17,Female,42,36.2,19
18,Female,24,60.8,59
19,Female,28,13.8,13
20,Female,27,48.8,44
21,Male,27,98.1,24
22,Male,39,61.9,40
23,Female,42,10.0,80
24,Male,30,21.7,83
25,Male,33,29.9,23
26,Female,28,30.3,82
27,Male,60,28.7,75
28,Male,29,23.7,81
29,Male,66,65.7,47
30,Male,46,28.6,20
31,Female,60,24.2,28
32,Male,51,11.0,13
33,Female,32,84.6,66
34,Male,49,20.3,27
35,Female,32,23.0,81
36,Female,24,102.6,91
37,Male,31,24.5,31
38,Female,32,95.6,76
39,Female,25,20.8,12
40,Male,19,88.8,79
41,Female,68,100.6,94
42,Male,45,85.3,23
43,Female,39,17.7,25
44,Female,67,24.1,67
45,Male,29,31.5,18
46,Female,39,21.3,73
47,Female,62,55.4,53
48,Male,51,23.7,82
49,Male,39,97.5,91
50,Female,31,22.6,70
51,Male,19,102.5,80
52,Male,22,102.8,85
53,Male,26,94.1,84
54,Female,59,108.7,97
55,Male,51,95.5,83
56,Male,40,102.5,76
57,Male,59,97.3,82
58,Female,26,97.2,14
59,Male,29,13.9,65
60,Male,38,17.2,19
61,Female,66,92.9,34
62,Male,50,32.7,15
63,Male,63,97.4,17
64,Female,31,23.0,81
65,Male,62,64.3,48
66,Female,21,102.4,12
67,Male,30,25.0,98
68,Male,45,96.6,30
69,Male,20,95.6,24
70,Female,63,24.6,21
71,Male,63,19.5,25
72,Female,46,19.0,27
73,Male,34,32.6,25
74,Male,23,23.0,25
75,Female,50,57.8,57
76,Female,46,12.2,20
77,Female,58,11.1,12
78,Male,49,104.5,26
79,Female,24,20.0,11
80,Female,24,10.0,18
81,Female,59,41.9,25
82,Female,26,21.1,25
83,Female,67,49.1,48
84,Female,23,25.7,79
85,Female,56,30.5,82
86,Male,69,99.7,77
87,Female,41,31.3,33
88,Male,21,53.2,44
89,Male,64,34.4,79
90,Male,27,34.8,77
91,Female,45,105.2,21
92,Female,70,26.8,91
93,Male,57,92.5,75
94,Male,20,91.9,85
95,Male,61,84.0,24
96,Female,26,91.2,90
97,Female,57,43.2,44
98,Female,50,83.2,76
99,Female,33,96.7,19
100,Male,40,93.2,19
101,Female,24,26.4,73
102,Female,70,99.9,25
103,Male,30,27.7,84
104,Male,34,27.1,94
105,Female,44,59.4,48
106,Female,53,89.7,13
107,Male,44,86.3,14
108,Male,44,94.5,84
109,Male,48,60.4,45
110,Male,63,101.3,25
111,Male,38,58.9,45
112,Female,62,63.8,51
113,Female,59,14.9,80
114,Male,68,96.8,14
115,Female,66,96.3,72
116,Female,60,104.4,91
117,Female,31,93.2,85
118,Male,59,10.0,14
119,Female,57,92.9,12
120,Female,33,30.0,36
121,Female,53,51.8,44
122,Female,31,96.6,31
123,Male,45,51.4,52
124,Female,60,37.7,10
125,Male,27,16.0,19
126,Female,35,91.4,26
127,Male,60,96.7,70
128,Male,42,98.6,78
129,Male,68,33.9,76
130,Male,18,90.5,86
131,Female,56,30.3,83
132,Male,61,83.2,24
133,Male,66,87.8,84
134,Male,26,85.0,85
135,Male,70,54.4,41
136,Male,38,30.0,82
137,Male,36,20.7,32
138,Male,36,91.9,82
139,Male,51,96.9,78
140,Female,52,28.3,76
141,Female,43,22.1,90
142,Female,21,87.7,3
143,Female,70,106.3,38
144,Female,29,22.2,66
145,Female,22,92.8,18
146,Female,49,93.7,74
147,Female,39,99.1,24
148,Male,50,84.5,87
149,Male,64,109.4,83
150,Male,23,22.6,21
151,Female,33,29.3,68
152,Female,45,96.2,17
153,Male,59,37.9,21
154,Female,49,106.7,12
155,Male,38,99.1,22
156,Female,50,18.9,23
157,Female,69,103.5,18
158,Male,43,48.2,50
159,Female,64,53.7,48
160,Female,59,94.4,70
161,Male,33,83.7,85
162,Female,31,56.3,32
163,Male,58,30.5,82
164,Female,28,90.0,73
165,Female,35,30.9,24
166,Male,30,111.7,23
167,Female,50,27.7,21
168,Male,33,30.7,84
169,Male,52,68.8,46
170,Male,67,92.0,79
171,Female,61,100.5,30
172,Male,68,56.8,47
173,Male,19,27.2,78
174,Male,42,66.7,34
175,Female,29,19.2,75
176,Male,66,10.0,73
177,Female,55,88.6,19
178,Male,34,67.8,48
179,Female,47,17.8,80
180,Male,50,67.3,43
181,Male,44,88.6,86
182,Female,43,93.4,25
183,Male,20,94.9,87
184,Male,41,17.8,80
185,Female,36,58.5,41
186,Female,61,84.1,87
187,Male,63,22.5,15
188,Female,57,94.3,28
189,Female,19,79.0,10
190,Male,62,18.5,90
191,Female,39,97.0,25
192,Male,40,87.0,74
193,Female,68,63.1,50
194,Male,63,98.8,19
195,Female,20,96.9,83
196,Male,37,65.4,56
197,Male,57,13.7,6
198,Female,46,32.0,30
199,Female,31,87.9,69
200,Male,45,95.7,27
201,Male,63,37.6,26
202,Male,29,92.4,14
203,Female,57,60.1,48
204,Male,56,87.9,34
205,Male,64,107.5,90
206,Female,33,88.6,88
207,Female,29,64.5,53
208,Female,47,33.7,84
209,Male,46,100.2,86
210,Female,39,97.4,8
211,Female,59,60.6,46
212,Male,60,16.0,92
213,Female,31,37.1,90
214,Male,60,61.8,59
215,Male,30,60.1,51
216,Male,39,17.3,25
217,Male,19,60.4,41
218,Male,36,94.6,81
219,Male,68,37.6,86
220,Male,41,25.1,82
221,Female,55,95.3,81
222,Female,23,52.4,49
223,Male,51,19.8,71
224,Female,37,63.6,53
225,Male,57,82.5,19
226,Male,67,32.0,29
227,Male,46,32.2,22
228,Female,23,19.1,14
229,Female,43,27.4,83
230,Female,24,104.0,28
231,Male,41,59.1,41
232,Male,21,22.8,82
233,Male,51,93.6,16
234,Male,34,26.8,76
235,Male,28,90.6,84
236,Male,18,92.2,22
237,Female,65,26.9,72
238,Male,62,91.6,92
239,Female,61,86.9,5
240,Male,21,82.0,82
241,Male,36,95.2,81
242,Female,69,33.5,3
243,Male,48,97.8,31
244,Female,24,87.1,79
245,Male,25,89.7,14
246,Female,31,92.7,30
247,Female,69,107.9,80
248,Male,26,108.3,20
249,Female,65,107.3,19
250,Male,53,25.9,83
251,Male,66,117.3,88
252,Female,61,20.0,29
253,Female,35,92.5,79
254,Female,61,31.4,22
255,Female,26,62.0,50
256,Female,33,97.4,23
257,Male,29,46.4,55
258,Female,25,53.1,40
259,Male,22,94.6,83
260,Female,27,20.1,86
261,Male,24,15.6,19
262,Male,38,55.9,50
263,Female,21,62.0,43
264,Male,21,65.1,50
265,Female,70,81.8,6
266,Female,22,24.9,20
267,Male,21,59.3,50
268,Male,19,96.6,27
269,Female,25,52.2,42
270,Female,45,17.3,82
271,Female,61,33.7,19
272,Female,56,10.0,10
273,Female,48,89.2,78
274,Female,22,22.1,22
275,Male,59,57.8,57
276,Female,19,55.3,44
277,Male,51,98.4,71
278,Male,39,27.7,23
279,Male,64,24.0,33
280,Female,34,20.6,94
281,Male,51,93.4,11
282,Male,41,95.5,74
283,Female,45,89.7,23
284,Male,67,98.9,78
285,Female,55,31.9,30
286,Male,39,35.1,26
287,Female,41,104.5,69
288,Male,55,22.8,16
289,Female,36,95.8,16
290,Female,26,93.8,95
291,Female,42,93.8,85
292,Female,21,23.4,23
293,Female,26,60.0,53
294,Female,40,103.2,94
295,Female,60,27.2,84
296,Male,59,86.9,19
297,Male,31,66.6,56
298,Male,40,96.5,26
299,Male,26,28.4,88
300,Female,58,97.0,18
301,Female,31,27.4,1
302,Female,60,97.7,1
303,Female,62,82.9,85
304,Female,54,98.3,12
305,Male,35,90.0,30
306,Male,68,91.6,98
307,Male,54,60.0,53
308,Female,52,71.3,51
309,Male,63,18.0,21
310,Female,64,59.8,40
311,Female,22,23.2,75
312,Female,64,31.5,80
313,Male,58,23.0,79
314,Female,28,61.6,54
315,Female,34,18.0,73
316,Female,57,102.7,17
317,Female,29,50.1,53
318,Female,41,98.2,9
319,Female,54,96.6,25
320,Female,52,27.6,84
321,Female,66,15.2,82
322,Female,23,22.9,19
323,Female,33,31.1,32
324,Male,70,37.6,31
325,Female,48,24.2,82
326,Male,31,100.4,83
327,Male,33,25.9,28
328,Female,35,94.6,77
329,Female,47,92.1,24
330,Female,33,95.0,84
331,Female,50,99.7,79
332,Female,41,100.3,85
333,Female,50,86.4,30
334,Female,26,91.5,8
335,Female,51,87.7,13
336,Male,67,95.4,18
337,Female,25,22.6,84
338,Male,35,27.4,24
339,Female,54,62.9,54
340,Male,50,10.2,19
341,Female,53,79.7,20
342,Male,47,25.0,87
343,Male,54,68.3,51
344,Female,50,21.5,25
345,Male,21,21.3,80
346,Female,57,101.9,16
347,Female,41,30.6,85
348,Male,20,53.3,57
349,Male,39,29.9,81
350,Female,41,54.7,44
351,Male,22,91.2,24
352,Male,70,18.3,83
353,Male,29,86.3,81
354,Female,35,25.8,97
355,Male,41,15.4,90
356,Female,62,61.0,53
357,Male,57,25.8,83
358,Male,58,93.9,30
359,Male,30,91.8,90
360,Male,62,20.5,80
361,Male,61,52.5,53
362,Female,42,35.1,21
363,Female,46,93.6,12
364,Male,19,93.4,71
365,Female,58,18.6,24
366,Male,68,104.2,40
367,Female,43,90.9,30
368,Male,46,96.7,81
369,Female,44,28.0,22
370,Female,22,95.8,79
371,Female,50,15.2,11
372,Female,56,29.6,20
373,Female,67,20.8,22
374,Female,67,100.6,21
375,Male,44,55.4,59
376,Male,68,36.1,83
